model,slug,condition,layer,mode,n,estimate,se,t,p,ci_lo,ci_hi
Pythia-160m,EleutherAI_pythia-160m,attn_zeroed,12,mean_pooled,48950,-0.0758484671085283,0.0027012942943196493,-28.07856488203614,4.676370584660936e-172,-0.08114304234421299,-0.07055389187284361
Pythia-160m,EleutherAI_pythia-160m,attn_zeroed,12,words_only,48950,-0.08554697596536755,0.0025899203324287823,-33.030736464832906,1.4755354650300114e-236,-0.09062325665174398,-0.08047069527899112
Pythia-160m,EleutherAI_pythia-160m,default,12,mean_pooled,48950,-0.027580203793727217,0.002879574027968554,-9.577876285119906,1.0366811848082625e-21,-0.03322420984292484,-0.021936197744529595
Pythia-160m,EleutherAI_pythia-160m,default,12,words_only,48950,-0.028797796095829043,0.002933031125139416,-9.818442037317348,9.86045463735591e-23,-0.03454657881576839,-0.023049013375889695
Pythia-410m,EleutherAI_pythia-410m,attn_zeroed,24,mean_pooled,48950,-0.062048695282834854,0.002860236967068319,-21.69355056844588,7.603408132152729e-104,-0.0676548004176491,-0.05644259014802061
Pythia-410m,EleutherAI_pythia-410m,attn_zeroed,24,words_only,48950,-0.08049454553377944,0.00277002388315625,-29.05915216949736,4.961594113972593e-184,-0.08592383174108179,-0.07506525932647709
Pythia-410m,EleutherAI_pythia-410m,default,24,mean_pooled,48950,-0.034196102753987996,0.003062404457052182,-11.166422735324966,6.471321242753641e-29,-0.0401984590444723,-0.028193746463503696
Pythia-410m,EleutherAI_pythia-410m,default,24,words_only,48950,-0.03225211171246975,0.0031867978026669116,-10.120539083301479,4.739972928010803e-24,-0.03849828072952763,-0.026005942695411875
Pythia-1B,EleutherAI_pythia-1b,attn_zeroed,16,mean_pooled,48950,-0.05345241859095543,0.0028732417047505955,-18.60352315733745,5.67571121837654e-77,-0.05908401319658518,-0.04782082398532568
Pythia-1B,EleutherAI_pythia-1b,attn_zeroed,16,words_only,48950,-0.07466218693574246,0.002856896552300003,-26.134018354859275,1.7409234359241475e-149,-0.08026174481010218,-0.06906262906138275
Pythia-1B,EleutherAI_pythia-1b,default,16,mean_pooled,48950,-0.031111920029754634,0.0029416648283816164,-10.576296704363543,4.105577722730645e-26,-0.03687762493084045,-0.025346215128668817
Pythia-1B,EleutherAI_pythia-1b,default,16,words_only,48950,-0.025229834606973194,0.003135420994982963,-8.04671355053878,8.701313157591842e-16,-0.03137530435027035,-0.01908436486367604
Pythia-2.8B,EleutherAI_pythia-2.8b,attn_zeroed,32,mean_pooled,48950,-0.055461035634666894,0.002818747018990989,-19.675776244198023,7.688379193229985e-86,-0.060985819881164006,-0.04993625138816978
Pythia-2.8B,EleutherAI_pythia-2.8b,attn_zeroed,32,words_only,48950,-0.07193599888119112,0.0028005473867204833,-25.68640660118596,1.638214978773514e-144,-0.07742511158959606,-0.06644688617278618
Pythia-2.8B,EleutherAI_pythia-2.8b,default,32,mean_pooled,48950,-0.03287307156236153,0.00293061985882037,-11.217105303993115,3.6590609032447967e-29,-0.038617128166021614,-0.027129014958701445
Pythia-2.8B,EleutherAI_pythia-2.8b,default,32,words_only,48950,-0.031812379343006514,0.0031729565903542336,-10.02609977070469,1.2360276018257414e-23,-0.03803141938707664,-0.02559333929893639
GPT-2,gpt2,attn_zeroed,12,mean_pooled,48950,-0.06896973222854054,0.003317189695143272,-20.7916153633058,1.3843201782091605e-95,-0.07547147120933437,-0.06246799324774671
GPT-2,gpt2,attn_zeroed,12,words_only,48950,-0.08241938331870581,0.004630718069441,-17.798402339068577,1.238140269361578e-70,-0.0914956565946152,-0.07334311004279642
GPT-2,gpt2,default,12,mean_pooled,48950,-0.016028932763864082,0.0028671334748980146,-5.590577803300294,2.2756248139969053e-8,-0.021648555152109242,-0.010409310375618921
GPT-2,gpt2,default,12,words_only,48950,-0.015358347538253537,0.0029321422407870773,-5.237927179866582,1.630849684074415e-7,-0.021105388032220253,-0.00961130704428682
GPT-2-medium,gpt2-medium,attn_zeroed,24,mean_pooled,48950,-0.07346446360569057,0.0032222410656311228,-22.79918296283692,1.943334840935183e-114,-0.07978010192224565,-0.0671488252891355
GPT-2-medium,gpt2-medium,attn_zeroed,24,words_only,48950,-0.08614396264626346,0.004015798663286211,-21.451265332054792,1.3601349435951978e-101,-0.09401498514049558,-0.07827294015203135
GPT-2-medium,gpt2-medium,default,24,mean_pooled,48950,-0.022017574374983986,0.002999316164558347,-7.340864772829343,2.1562539443966154e-13,-0.02789627671491507,-0.016138872035052904
GPT-2-medium,gpt2-medium,default,24,words_only,48950,-0.014364834002340648,0.0031465812937129796,-4.5652194116332785,5.002290234558055e-6,-0.02053217808987458,-0.008197489914806715
GPT-2-large,gpt2-large,attn_zeroed,36,mean_pooled,48950,-0.06400769590801263,0.002953631082073228,-21.670849923167797,1.2391081480336e-103,-0.06979685483652254,-0.058218536979502716
GPT-2-large,gpt2-large,attn_zeroed,36,words_only,48950,-0.07712638844834617,0.003205458202144566,-24.060955902262542,3.749058760058231e-127,-0.08340913211377543,-0.07084364478291691
GPT-2-large,gpt2-large,default,36,mean_pooled,48950,-0.02536993171949677,0.0029282050448773203,-8.663987436221245,4.6969343173735306e-18,-0.03110925525348409,-0.01963060818550945
GPT-2-large,gpt2-large,default,36,words_only,48950,-0.017265106952930872,0.0030925685361952934,-5.582772621159654,2.3801160419674697e-8,-0.023326585267540494,-0.011203628638321252
